2026-07-13 19:38:05 | INFO    | services.readiness_score | Weighted readiness computed. overall=58.5 rating=Needs Significant Improvement completeness=100.0 accuracy=65.2
2026-07-13 19:38:05 | INFO    | services.impact_score | Weighted impact computed. overall=96.24 rating=Very High Impact priority=39.96
2026-07-13 19:44:13 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:44:15 | INFO    | services.genai_service | GenAI preflight OK. provider=openai base_url=https://genai-sharedservice-americas.pwc.com model=azure.gpt-4o
2026-07-13 19:44:15 | INFO    | services.genai_service | Creating ChatOpenAI. base_url=https://genai-sharedservice-americas.pwc.com model=azure.gpt-4o reasoning_effort=(default) max_tokens=6000
2026-07-13 19:44:27 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:44:34 | INFO    | services.logging_config | Reg AI RAP logging initialised. file=C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log file_level=DEBUG console_level=INFO
2026-07-13 19:44:34 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:44:47 | INFO    | services.logging_config | Reg AI RAP logging initialised. file=C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log file_level=DEBUG console_level=INFO
2026-07-13 19:44:47 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:44:48 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:44:54 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:44:54 | INFO    | __main__ | User triggered Generate BRD/FRD. regulation=DORA tier=Tier-2 regulators=['ALL'] client_roles=[]
2026-07-13 19:44:54 | INFO    | orchestrator | Orchestrator initialised. genai_client=configured
2026-07-13 19:44:54 | INFO    | orchestrator | Agent 1 (Regulatory Analysis) invoked. regulation=DORA tier=Tier-2 regulators=['ALL'] client_roles=None parsed_doc=no
2026-07-13 19:44:54 | INFO    | agents.regulatory_analysis_agent | Agent 1 analyze() start. regulation=DORA tier=Tier-2 roles=None has_parsed_doc=False regulators=['ALL']
2026-07-13 19:44:54 | INFO    | services.brd_frd_generator | BRD generator starting 8-call GenAI pipeline (PARALLEL). regulation=DORA tier=Tier-2 context_chars=1294
2026-07-13 19:44:54 | DEBUG   | services.genai_service | LLM call. component=1-3. Executive Summary, Objectives, and Scope regulation=None roles=None context_chars=1294
2026-07-13 19:44:54 | DEBUG   | services.genai_service | LLM call. component=4-6. Stakeholders, Current State Challenges, and Target State Overview regulation=None roles=None context_chars=1294
2026-07-13 19:44:54 | DEBUG   | services.genai_service | LLM call. component=7.1 Process Requirements regulation=None roles=None context_chars=1294
2026-07-13 19:44:54 | DEBUG   | services.genai_service | LLM call. component=7.2 Data Requirements regulation=None roles=None context_chars=1294
2026-07-13 19:44:54 | DEBUG   | services.genai_service | LLM call. component=7.3 Reporting Requirements regulation=None roles=None context_chars=1294
2026-07-13 19:44:54 | DEBUG   | services.genai_service | LLM call. component=8 and 10. Functional and Non-Functional Requirements regulation=None roles=None context_chars=1294
2026-07-13 19:44:54 | DEBUG   | services.genai_service | LLM call. component=9 and 11-14. Controls, Assumptions, Dependencies, Risks, and Success Criteria regulation=None roles=None context_chars=1294
2026-07-13 19:44:54 | DEBUG   | services.genai_service | LLM call. component=15-16. Appendix and Workshop Delivery Plan regulation=None roles=None context_chars=1294
2026-07-13 19:45:01 | INFO    | services.brd_frd_generator | BRD bundle complete: 7.1 Process Requirements
2026-07-13 19:45:02 | INFO    | services.brd_frd_generator | BRD bundle complete: 7.2 Data Requirements
2026-07-13 19:45:02 | INFO    | services.brd_frd_generator | BRD bundle complete: 1-3. Executive Summary, Objectives, and Scope
2026-07-13 19:45:02 | INFO    | services.logging_config | Reg AI RAP logging initialised. file=C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log file_level=DEBUG console_level=INFO
2026-07-13 19:45:02 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:02 | INFO    | services.brd_frd_generator | BRD bundle complete: 4-6. Stakeholders, Current State Challenges, and Target State Overview
2026-07-13 19:45:03 | INFO    | services.brd_frd_generator | BRD bundle complete: 7.3 Reporting Requirements
2026-07-13 19:45:10 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:10 | INFO    | __main__ | User triggered Generate BRD/FRD. regulation=DORA tier=Tier-2 regulators=['ALL'] client_roles=[]
2026-07-13 19:45:11 | INFO    | orchestrator | Agent 1 (Regulatory Analysis) invoked. regulation=DORA tier=Tier-2 regulators=['ALL'] client_roles=None parsed_doc=no
2026-07-13 19:45:11 | INFO    | agents.regulatory_analysis_agent | Agent 1 analyze() start. regulation=DORA tier=Tier-2 roles=None has_parsed_doc=False regulators=['ALL']
2026-07-13 19:45:11 | INFO    | services.brd_frd_generator | BRD generator starting 8-call GenAI pipeline (PARALLEL). regulation=DORA tier=Tier-2 context_chars=1294
2026-07-13 19:45:11 | DEBUG   | services.genai_service | LLM call. component=1-3. Executive Summary, Objectives, and Scope regulation=None roles=None context_chars=1294
2026-07-13 19:45:11 | DEBUG   | services.genai_service | LLM call. component=4-6. Stakeholders, Current State Challenges, and Target State Overview regulation=None roles=None context_chars=1294
2026-07-13 19:45:11 | DEBUG   | services.genai_service | LLM call. component=7.1 Process Requirements regulation=None roles=None context_chars=1294
2026-07-13 19:45:11 | DEBUG   | services.genai_service | LLM call. component=7.2 Data Requirements regulation=None roles=None context_chars=1294
2026-07-13 19:45:11 | DEBUG   | services.genai_service | LLM call. component=7.3 Reporting Requirements regulation=None roles=None context_chars=1294
2026-07-13 19:45:11 | DEBUG   | services.genai_service | LLM call. component=8 and 10. Functional and Non-Functional Requirements regulation=None roles=None context_chars=1294
2026-07-13 19:45:11 | DEBUG   | services.genai_service | LLM call. component=9 and 11-14. Controls, Assumptions, Dependencies, Risks, and Success Criteria regulation=None roles=None context_chars=1294
2026-07-13 19:45:11 | DEBUG   | services.genai_service | LLM call. component=15-16. Appendix and Workshop Delivery Plan regulation=None roles=None context_chars=1294
2026-07-13 19:45:16 | INFO    | services.logging_config | Reg AI RAP logging initialised. file=C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log file_level=DEBUG console_level=INFO
2026-07-13 19:45:16 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:20 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:20 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:21 | INFO    | services.brd_frd_generator | BRD bundle complete: 15-16. Appendix and Workshop Delivery Plan
2026-07-13 19:45:23 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:23 | INFO    | services.brd_frd_generator | BRD bundle complete: 8 and 10. Functional and Non-Functional Requirements
2026-07-13 19:45:25 | INFO    | services.brd_frd_generator | BRD bundle complete: 4-6. Stakeholders, Current State Challenges, and Target State Overview
2026-07-13 19:45:26 | INFO    | services.brd_frd_generator | BRD bundle complete: 9 and 11-14. Controls, Assumptions, Dependencies, Risks, and Success Criteria
2026-07-13 19:45:26 | INFO    | services.brd_frd_generator | BRD generator: all 8 bundles complete in 32.0s (parallel).
2026-07-13 19:45:26 | INFO    | services.brd_frd_generator | BRD generator: GenAI path succeeded, 8 guardrail bundles.
2026-07-13 19:45:26 | INFO    | orchestrator | Agent 1 completed. obligations=78 requirements=0
2026-07-13 19:45:26 | INFO    | __main__ | Agent 1 completed. obligations=78 requirements=0
2026-07-13 19:45:28 | INFO    | services.brd_frd_generator | BRD bundle complete: 7.1 Process Requirements
2026-07-13 19:45:28 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:29 | INFO    | services.brd_frd_generator | BRD bundle complete: 1-3. Executive Summary, Objectives, and Scope
2026-07-13 19:45:29 | INFO    | services.genai_service | GenAI preflight OK. provider=openai base_url=https://genai-sharedservice-americas.pwc.com model=azure.gpt-4o
2026-07-13 19:45:29 | INFO    | services.genai_service | Creating ChatOpenAI. base_url=https://genai-sharedservice-americas.pwc.com model=azure.gpt-4o reasoning_effort=(default) max_tokens=6000
2026-07-13 19:45:31 | INFO    | services.brd_frd_generator | BRD bundle complete: 7.2 Data Requirements
2026-07-13 19:45:31 | INFO    | services.brd_frd_generator | BRD bundle complete: 7.3 Reporting Requirements
2026-07-13 19:45:39 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:40 | INFO    | services.brd_frd_generator | BRD bundle complete: 15-16. Appendix and Workshop Delivery Plan
2026-07-13 19:45:40 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:45:42 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
